Fréquence (Hz)	Niveau (dB)
11498,730469	-66,741402
11541,796875	-66,082191
11584,863281	-66,311226
11627,929688	-67,043541
11670,996094	-66,684433
11714,062500	-66,676651
11757,128906	-67,476524
11800,195312	-66,481873
11843,261719	-66,653549
11886,328125	-66,645157
11929,394531	-66,371696
11972,460938	-65,185295
12015,527344	-65,309799
12058,593750	-66,955788
12101,660156	-66,682518
12144,726562	-66,444412
12187,792969	-68,086273
12230,859375	-67,107948
12273,925781	-67,151825
12316,992188	-66,945175
12360,058594	-66,953102
12403,125000	-66,479156
12446,191406	-66,177490
12489,257812	-67,122131
12532,324219	-68,273483
12575,390625	-68,532692
12618,457031	-69,356323
12661,523438	-70,123726
12704,589844	-68,810516
12747,656250	-69,259094
12790,722656	-70,263153
12833,789062	-71,108604
12876,855469	-71,483215
12919,921875	-70,290817
12962,988281	-71,930336
13006,054688	-70,414406
13049,121094	-71,032036
13092,187500	-71,420372
13135,253906	-71,243111
13178,320312	-70,997978
13221,386719	-70,670891
13264,453125	-69,963943
13307,519531	-69,911560
13350,585938	-69,834915
13393,652344	-69,132828
13436,718750	-69,760132
13479,785156	-70,387245
13522,851562	-70,522827
13565,917969	-69,952934
13608,984375	-70,578125
13652,050781	-70,374146
13695,117188	-69,712181
13738,183594	-68,672112
13781,250000	-69,287369
13824,316406	-69,883858
13867,382812	-69,809731
13910,449219	-68,980927
13953,515625	-69,528099
13996,582031	-71,089851
14039,648438	-69,989067
14082,714844	-70,509636
14125,781250	-72,080070
14168,847656	-74,390602
14211,914062	-74,240448
14254,980469	-72,917023
14298,046875	-72,451828
14341,113281	-72,817589
14384,179688	-72,615196
14427,246094	-73,522659
14470,312500	-74,084419
14513,378906	-74,725922
14556,445312	-76,253159
14599,511719	-76,242905
14642,578125	-74,548805
14685,644531	-72,822571
14728,710938	-73,649460
14771,777344	-74,012161
14814,843750	-75,211960
14857,910156	-75,304108
14900,976562	-73,834053
14944,042969	-73,675842
14987,109375	-73,887146
15030,175781	-71,733269
15073,242188	-65,795914
15116,308594	-59,706459
15159,375000	-59,955116
15202,441406	-67,500542
15245,507812	-71,422089
15288,574219	-72,998634
15331,640625	-73,669891
15374,707031	-74,542160
15417,773438	-74,016869
15460,839844	-73,804024
15503,906250	-75,148689
15546,972656	-77,252739
15590,039062	-76,291618
15633,105469	-75,448975
15676,171875	-76,180496
15719,238281	-78,665573
15762,304688	-82,898666
15805,371094	-88,051567
15848,437500	-89,039215
15891,503906	-89,124039
15934,570312	-89,128075
15977,636719	-89,062149
16020,703125	-89,128365
16063,769531	-89,202812
16106,835938	-89,239403
16149,902344	-89,260361
16192,968750	-89,269577
16236,035156	-89,295021
16279,101562	-89,297195
16322,167969	-89,325806
16365,234375	-89,327988
16408,300781	-89,347687
16451,367188	-89,364662
16494,433594	-89,372009
16537,500000	-89,389229
16580,566406	-89,401810
16623,632812	-89,414612
16666,699219	-89,427734
16709,765625	-89,439827
16752,832031	-89,450691
16795,898438	-89,467644
16838,964844	-89,475052
16882,031250	-89,493912
16925,097656	-89,494919
16968,164062	-89,521935
17011,230469	-89,520920
17054,296875	-89,543098
17097,363281	-89,540634
17140,429688	-89,571678
17183,496094	-89,561920
17226,562500	-89,592445
17269,628906	-89,587410
17312,695312	-89,612411
17355,761719	-89,607880
17398,828125	-89,635223
17441,894531	-89,633652
17484,960938	-89,652542
17528,027344	-89,655197
17571,093750	-89,671654
17614,160156	-89,676880
17657,226562	-89,692551
17700,292969	-89,696671
17743,359375	-89,714088
17786,425781	-89,714676
17829,492188	-89,734001
17872,558594	-89,735413
17915,625000	-89,750069
17958,691406	-89,755966
18001,757812	-89,769600
18044,824219	-89,775307
18087,890625	-89,784935
18130,957031	-89,795181
18174,023438	-89,801399
18217,089844	-89,813164
18260,156250	-89,818222
18303,222656	-89,831795
18346,289062	-89,833725
18389,355469	-89,849091
18432,421875	-89,850868
18475,488281	-89,866920
18518,554688	-89,862816
18561,621094	-89,881653
18604,687500	-89,883064
18647,753906	-89,895607
18690,820312	-89,895500
18733,886719	-89,913399
18776,953125	-89,911507
18820,019531	-89,927048
18863,085938	-89,923836
18906,152344	-89,941643
18949,218750	-89,939194
18992,285156	-89,955727
19035,351562	-89,950050
19078,417969	-89,970161
19121,484375	-89,963440
19164,550781	-89,982651
19207,617188	-89,977119
19250,683594	-89,995033
19293,750000	-89,991302
19336,816406	-90,004219
19379,882812	-90,003319
19422,949219	-90,017357
19466,015625	-90,012711
19509,082031	-90,028061
19552,148438	-90,027107
19595,214844	-90,034622
19638,281250	-90,038353
19681,347656	-90,047104
19724,414062	-90,048454
19767,480469	-90,056564
19810,546875	-90,061127
19853,613281	-90,063629
19896,679688	-90,068756
19939,746094	-90,073280
19982,812500	-90,082199
20025,878906	-90,078888
20068,945312	-90,089607
20112,011719	-90,089699
20155,078125	-90,098923
20198,144531	-90,093857
20241,210938	-90,108360
20284,277344	-90,103371
20327,343750	-90,117111
20370,410156	-90,108803
20413,476562	-90,122879
20456,542969	-90,116798
20499,609375	-90,132072
20542,675781	-90,121109
20585,742188	-90,137978
20628,808594	-90,130875
20671,875000	-90,142998
20714,941406	-90,135002
20758,007812	-90,150604
20801,074219	-90,139900
20844,140625	-90,152565
20887,207031	-90,150970
20930,273438	-90,156433
20973,339844	-90,153755
21016,406250	-90,162407
21059,472656	-90,157303
21102,539062	-90,166573
21145,605469	-90,163818
21188,671875	-90,169395
21231,738281	-90,168007
21274,804688	-90,171814
21317,871094	-90,173668
21360,937500	-90,171722
21404,003906	-90,179489
21447,070312	-90,174438
21490,136719	-90,181877
21533,203125	-90,176224
21576,269531	-90,184097
21619,335938	-90,178741
21662,402344	-90,184967
21705,468750	-90,180199
21748,535156	-90,186974
21791,601562	-90,181786
21834,667969	-90,192505
21877,734375	-90,177742
21920,800781	-90,190575
21963,867188	-90,183632
22006,933594	-90,195709
